City,State
Chennai,Tamil Nadu
Brajrajnagar,Odisha
Mumbai,Maharashtra
Kolkata,West Bengal
Patna,Bihar
Chandigarh,Chandigarh
Delhi,Delhi
Ahmedabad,Gujarat
Shillong,Meghalaya
Bengaluru,Karnataka
Kochi,Kerala
Talcher,Odisha
Jorapokhar,Jharkhand
Visakhapatnam,Andhra Pradesh
Bhopal,Madhya Pradesh
Amaravati,Andhra Pradesh
Coimbatore,Tamil Nadu
Guwahati,Assam
Hyderabad,Telangana
Thiruvananthapuram,Kerala
Amritsar,Punjab
Ernakulam,Kerala
Gurugram,Haryana
Lucknow,Uttar Pradesh
Aizawl,Mizoram
Jaipur,Rajasthan
